date,slc,davis,wm,hill
3/1/2020,0,0,0,0
3/2/2020,0,0,0,0
3/3/2020,0,0,0,0
3/4/2020,1,0,0,0
3/5/2020,0,0,0,0
3/6/2020,1,1,0,0
3/7/2020,0,0,0,0
3/8/2020,0,0,0,0
3/9/2020,0,1,0,0
3/10/2020,0,1,0,0
3/11/2020,2,0,0,0
3/12/2020,2,1,0,0
3/13/2020,4,0,0,0
3/14/2020,7,1,0,0
3/15/2020,5,0,0,0
3/16/2020,6,1,0,0
3/17/2020,9,2,0,0
3/18/2020,5,0,0,0
3/19/2020,15,6,0,0
3/20/2020,18,2,0,0
3/21/2020,25,6,5,1
3/22/2020,32,9,3,0
3/23/2020,20,2,2,0
3/24/2020,31,1,0,0
3/25/2020,28,6,4,0
3/26/2020,56,1,6,1
3/27/2020,51,13,9,0
3/28/2020,62,15,8,0
3/29/2020,33,8,2,0
3/30/2020,45,3,2,0
3/31/2020,41,12,9,1
4/1/2020,63,7,3,1
4/2/2020,90,13,5,1
4/3/2020,98,21,8,1
4/4/2020,82,3,5,0
4/5/2020,43,9,2,0
4/6/2020,27,10,3,0
4/7/2020,67,5,1,1
4/8/2020,81,5,10,0
4/9/2020,72,11,3,0
4/10/2020,69,8,2,1
4/11/2020,54,13,4,0
4/12/2020,33,8,7,0
4/13/2020,35,2,2,0
4/14/2020,119,3,3,0
4/15/2020,102,7,2,0
4/16/2020,62,8,2,0
4/17/2020,96,3,5,1
4/18/2020,77,6,4,0
4/19/2020,56,5,5,0
4/20/2020,56,2,1,0
4/21/2020,91,3,7,1
4/22/2020,107,6,2,0
4/23/2020,85,4,6,0
4/24/2020,77,7,4,0
4/25/2020,69,9,2,0
4/26/2020,40,5,0,0
4/27/2020,47,1,4,2
4/28/2020,76,4,2,1
4/29/2020,68,2,4,0
4/30/2020,77,6,6,0
5/1/2020,67,4,4,0
5/2/2020,78,4,2,0
5/3/2020,34,1,3,0
5/4/2020,59,2,0,0
5/5/2020,54,4,0,0
5/6/2020,,,,
5/7/2020,,,,